Angle(deg),Range(m),Intensity
46,0,0
45,0,0
44,0,0
43,0,0
42,0,0
41,0,0
40,0,0
39,0,0
38,0,0
37,0.127,2600
36,0.13,2200
35,0,0
34,0,0
33,0,0
32,0,0
31,0.158,4600
30,0.162,3600
29,0,0
28,3.867,300
27,3.872,300
26,3.834,500
25,3.847,500
24,3.785,500
23,3.843,300
22,3.751,600
21,3.654,500
20,3.698,600
19,3.645,500
18,3.674,400
17,3.612,500
16,3.652,500
15,3.601,600
14,3.618,400
13,3.584,500
12,3.576,500
11,3.582,500
10,0,0
9,0,0
8,0,0
7,3.58,500
6,3.55,600
5,3.562,200
4,3.517,500
3,3.56,600
2,3.52,500
0.999998,3.524,500
0,3.541,500
-1,3.502,400
-2,3.563,500
-3,3.564,500
-4,3.587,500
-5,3.594,500
-6,3.569,500
-7,3.569,500
-8,3.588,400
-9,3.589,400
-10,3.613,400
-11,3.637,400
-12,3.664,400
-13,3.671,400
-14,3.701,400
-15,3.709,400
-16,3.756,400
-17,3.78,400
-18,3.788,400
-19,0,0
-20,0,0
-21,0,0
-22,0,0
-23,0,0
-24,0,0
-25,0,0
-26,0,0
-27,0,0
-28,0,0
-29,0,0
-30,0,0
-31,0,0
-32,0,0
-33,0,0
-34,0,0
-35,0,0
-36,0,0
-37,0,0
-38,0,0
-39,0,0
-40,0,0
-41,0,0
-42,0,0
-43,0,0
-44,0,0
-45,0,0
-46,0,0
-47,0,0
-48,0,0
-49,0,0
-50,0,0
-51,0,0
-52,0,0
-53,0,0
-54,0,0
-55,0,0
-56,0,0
-57,0,0
-58,0,0
-59,0,0
-60,0,0
-61,0,0
-62,0,0
-63,0,0
-64,0,0
-65,0,0
-66,0,0
-67,0,0
-68,0,0
-69,0,0
-70,0,0
-71,0,0
-72,0,0
-73,0,0
46,0,0
45,0,0
44,0,0
43,0,0
42,0,0
41,0,0
40,0,0
39,0,0
38,0.128,2600
37,0.128,2500
36,0.131,2300
35,0,0
34,0,0
33,0,0
32,0,0
31,0.158,4600
30,0.162,3200
29,0,0
28,3.862,300
27,3.88,300
26,3.837,500
25,3.848,500
24,3.793,500
23,3.838,300
22,3.752,600
21,3.651,500
20,3.735,500
19,3.688,400
18,3.685,400
17,3.67,400
16,3.641,500
15,3.624,500
14,3.619,400
13,3.577,500
12,3.578,500
11,3.539,400
10,0,0
9,0,0
8,0,0
7,3.538,600
6,3.54,600
5,3.571,200
4,3.511,500
3,3.55,600
2,3.494,500
0.999998,3.523,500
0,3.534,500
-1,3.503,400
-2,3.548,500
-3,3.565,500
-4,3.584,500
-5,3.595,500
-6,3.568,500
-7,3.573,500
-8,3.588,400
-9,3.59,400
-10,3.615,400
-11,3.675,500
-12,3.656,400
-13,3.652,400
-14,3.704,400
-15,3.714,400
-16,3.755,400
-17,3.784,400
-18,3.792,400
-19,0,0
-20,0,0
-21,0,0
-22,0,0
-23,0,0
-24,0,0
-25,0,0
-26,0,0
-27,0,0
-28,0,0
-29,0,0
-30,0,0
-31,0,0
-32,0,0
-33,0,0
-34,0,0
-35,0,0
-36,0,0
