Angle(deg),Range(m),Intensity
-37,0,0
-38,0,0
-39,0,0
-40,0,0
-41,0,0
-42,0,0
-43,0,0
-44,0,0
-45,0,0
-46,0,0
-47,0,0
-48,0,0
-49,0,0
-50,0,0
-51,0,0
-52,0,0
-53,0,0
-54,0,0
-55,0,0
-56,0,0
-57,0,0
-58,0,0
-59,0,0
-60,0,0
-61,0,0
-62,0,0
-63,0,0
-64,0,0
-65,0,0
-66,0,0
-67,0,0
-68,0,0
-69,0,0
-70,0,0
-71,0,0
-72,0,0
-73,0,0
46,0,0
45,0,0
44,0,0
43,0,0
42,0,0
41,0,0
40,0,0
39,0,0
38,0.129,2500
37,0.129,2500
36,0.132,2600
35,0,0
34,0,0
33,0,0
32,0,0
31,0.159,4300
30,0.163,3000
29,0,0
28,3.862,300
27,3.935,400
26,3.834,500
25,3.857,500
24,3.787,500
23,3.838,300
22,3.742,600
21,3.658,500
20,3.739,500
19,3.693,400
18,3.676,400
17,3.665,400
16,3.643,500
15,3.634,500
14,3.611,400
13,3.577,500
12,3.574,500
11,3.549,400
10,0,0
9,0,0
8,0,0
7,3.576,500
6,3.542,600
5,3.564,200
4,3.511,500
3,3.547,600
2,3.497,500
0.999998,3.521,500
0,3.537,500
-1,3.505,400
-2,3.552,500
-3,3.564,500
-4,3.59,500
-5,3.593,500
-6,3.569,500
-7,3.571,500
-8,3.588,400
-9,3.588,400
-10,3.605,400
-11,3.638,400
-12,3.667,400
-13,3.659,400
-14,3.708,400
-15,3.716,400
-16,3.76,400
-17,3.778,400
-18,3.795,400
-19,0,0
-20,0,0
-21,0,0
-22,0,0
-23,0,0
-24,0,0
-25,0,0
-26,0,0
-27,0,0
-28,0,0
-29,0,0
-30,0,0
-31,0,0
-32,0,0
-33,0,0
-34,0,0
-35,0,0
-36,0,0
-37,0,0
-38,0,0
-39,0,0
-40,0,0
-41,0,0
-42,0,0
-43,0,0
-44,0,0
-45,0,0
-46,0,0
-47,0,0
-48,0,0
-49,0,0
-50,0,0
-51,0,0
-52,0,0
-53,0,0
-54,0,0
-55,0,0
-56,0,0
-57,0,0
-58,0,0
-59,0,0
-60,0,0
-61,0,0
-62,0,0
-63,0,0
-64,0,0
-65,0,0
-66,0,0
-67,0,0
-68,0,0
-69,0,0
-70,0,0
-71,0,0
-72,0,0
-73,0,0
46,0,0
45,0,0
44,0,0
43,0,0
42,0,0
41,0,0
40,0,0
39,0,0
38,0.13,2700
37,0.13,2500
36,0,0
35,0,0
34,0,0
33,0,0
32,0,0
31,0.16,4200
30,0.165,2500
29,0,0
28,3.869,300
27,3.867,300
26,3.839,500
25,3.841,500
24,3.746,600
23,3.93,200
22,3.75,600
21,3.7,600
20,3.697,600
19,3.64,500
18,3.673,400
17,3.672,400
16,3.646,500
15,3.625,500
14,3.625,400
13,3.577,500
12,3.573,500
11,3.544,400
10,0,0
9,0,0
8,0,0
7,3.539,600
6,3.552,600
5,3.565,200
4,3.536,600
3,3.559,600
2,3.508,500
0.999998,3.529,500
0,3.542,500
-1,3.506,400
-2,3.553,500
-3,3.565,500
-4,3.585,500
-5,3.592,500
-6,3.579,500
-7,3.574,500
-8,3.582,400
-9,3.588,400
-10,3.611,400
-11,3.673,500
-12,3.657,400
-13,3.652,400
-14,3.711,400
-15,3.716,400
-16,3.761,400
-17,3.786,400
-18,3.87,300
-19,0,0
-20,0,0
-21,0,0
-22,0,0
-23,0,0
-24,0,0
-25,0,0
-26,0,0
-27,0,0
-28,0,0
-29,0,0
-30,0,0
-31,0,0
-32,0,0
-33,0,0
-34,0,0
-35,0,0
-36,0,0
-37,0,0
-38,0,0
-39,0,0
-40,0,0
-41,0,0
-42,0,0
-43,0,0
-44,0,0
-45,0,0
-46,0,0
-47,0,0
-48,0,0
-49,0,0
-50,0,0
-51,0,0
-52,0,0
-53,0,0
-54,0,0
-55,0,0
-56,0,0
-57,0,0
-58,0,0
-59,0,0
-60,0,0
-61,0,0
-62,0,0
-63,0,0
-64,0,0
-65,0,0
-66,0,0
-67,0,0
-68,0,0
-69,0,0
-70,0,0
-71,0,0
-72,0,0
-73,0,0
46,0,0
45,0,0
44,0,0
43,0,0
42,0,0
41,0,0
40,0,0
39,0,0
38,0.131,2600
37,0.131,2400
36,0,0
35,0.141,1900
34,0,0
33,0,0
32,0,0
31,0.161,3800
30,0.167,2100
29,0,0
28,3.865,300
27,3.877,300
26,3.85,500
25,3.856,500
24,3.809,500
23,3.823,300
22,3.758,600
21,3.705,600
20,3.713,600
19,3.66,400
18,3.666,400
17,3.679,400
16,3.64,500
15,3.609,500
14,3.624,400
13,3.578,500
12,3.577,500
11,3.544,400
10,0,0
9,0,0
8,0,0
7,3.53,600
6,3.542,600
5,3.56,200
4,3.501,500
3,3.558,600
2,3.516,500
0.999998,3.536,500
0,3.537,500
-1,3.494,400
-2,3.551,500
-3,3.58,500
-4,3.584,500
-5,3.586,500
-6,3.596,500
-7,3.597,500
-8,3.607,500
-9,3.616,400
-10,3.621,400
-11,3.629,400
-12,3.677,400
-13,3.68,400
-14,3.717,400
-15,3.736,400
-16,3.771,400
-17,3.783,400
-18,3.882,300
-19,0,0
-20,0,0
-21,0,0
-22,0,0
-23,0,0
-24,0,0
-25,0,0
-26,0,0
-27,0,0
-28,0,0
-29,0,0
-30,0,0
-31,0,0
-32,0,0
-33,0,0
-34,0,0
-35,0,0
-36,0,0
-37,0,0
-38,0,0
-39,0,0
-40,0,0
-41,0,0
-42,0,0
-43,0,0
-44,0,0
-45,0,0
-46,0,0
-47,0,0
-48,0,0
-49,0,0
-50,0,0
-51,0,0
-52,0,0
-53,0,0
-54,0,0
-55,0,0
-56,0,0
-57,0,0
-58,0,0
-59,0,0
-60,0,0
-61,0,0
-62,0,0
-63,0,0
-64,0,0
-65,0,0
-66,0,0
-67,0,0
-68,0,0
-69,0,0
-70,0,0
-71,0,0
-72,0,0
-73,0,0
46,0,0
45,0,0
44,0,0
43,0,0
42,0,0
41,0,0
40,0,0
39,0,0
38,0.132,2600
37,0.133,2500
36,0,0
35,0,0
34,0,0
33,0,0
32,0,0
31,0.162,3600
30,0.168,1400
29,0,0
28,3.936,400
27,3.806,400
26,3.848,500
25,3.836,500
24,3.759,600
23,3.927,200
22,3.767,600
21,3.65,500
20,3.712,600
19,3.686,400
18,3.682,400
17,3.681,400
16,3.637,500
15,3.618,500
14,3.612,400
13,3.589,500
12,3.577,500
11,3.541,400
10,0,0
9,0,0
8,0,0
7,3.538,600
6,3.54,600
5,3.569,200
4,3.518,500
3,3.562,600
2,3.517,500
0.999998,3.534,500
0,3.532,500
-1,3.497,400
-2,3.571,500
-3,3.562,500
-4,3.591,500
-5,3.597,500
-6,3.576,500
-7,3.575,500
-8,3.615,500
-9,3.628,500
-10,3.604,400
-11,3.614,400
-12,3.662,400
-13,3.695,400
-14,3.707,400
-15,3.73,400
-16,3.745,400
-17,3.791,400
-18,3.87,300
-19,0,0
-20,0,0
-21,0,0
-22,0,0
-23,0,0
-24,0,0
-25,0,0
-26,0,0
-27,0,0
-28,0,0
-29,0,0
-30,0,0
-31,0,0
-32,0,0
-33,0,0
-34,0,0
-35,0,0
-36,0,0
-37,0,0
-38,0,0
-39,0,0
-40,0,0
-41,0,0
-42,0,0
-43,0,0
-44,0,0
-45,0,0
-46,0,0
-47,0,0
-48,0,0
-49,0,0
-50,0,0
-51,0,0
-52,0,0
-53,0,0
-54,0,0
-55,0,0
-56,0,0
-57,0,0
-58,0,0
-59,0,0
-60,0,0
-61,0,0
-62,0,0
-63,0,0
-64,0,0
-65,0,0
-66,0,0
-67,0,0
-68,0,0
-69,0,0
-70,0,0
-71,0,0
-72,0,0
-73,0,0
46,0,0
45,0,0
44,0,0
43,0,0
42,0,0
41,0,0
40,0,0
39,0,0
38,0.132,2500
37,0,0
36,0,0
35,0.143,2000
34,0,0
33,0,0
32,0,0
31,0.162,3600
30,0.168,1300
29,3.959,200
28,3.862,300
27,3.802,400
26,3.847,500
25,3.847,500
24,3.758,600
23,3.921,200
22,3.8,700
21,3.658,500
20,3.707,400
19,3.644,500
18,3.689,400
17,3.682,400
16,3.609,600
15,3.612,500
14,3.618,400
13,3.576,500
12,3.541,400
11,3.583,500
10,0,0
9,0,0
8,0,0
7,3.531,600
6,3.545,600
5,3.567,200
4,3.514,500
3,3.544,600
2,3.529,500
0.999998,3.563,600
0,3.529,500
-1,3.497,400
-2,3.563,500
-3,3.556,500
-4,3.593,500
-5,3.599,500
-6,3.573,500
-7,3.573,500
-8,3.607,500
-9,3.597,400
-10,3.606,400
-11,3.612,400
-12,3.676,400
-13,3.675,400
-14,3.712,400
-15,3.721,400
-16,3.758,400
-17,3.788,400
-18,3.874,300
-19,0,0
-20,0,0
-21,0,0
-22,0,0
-23,0,0
-24,0,0
-25,0,0
-26,0,0
-27,0,0
-28,0,0
-29,0,0
-30,0,0
-31,0,0
-32,0,0
-33,0,0
-34,0,0
-35,0,0
-36,0,0
-37,0,0
-38,0,0
-39,0,0
-40,0,0
-41,0,0
-42,0,0
-43,0,0
-44,0,0
-45,0,0
-46,0,0
-47,0,0
-48,0,0
-49,0,0
-50,0,0
-51,0,0
-52,0,0
-53,0,0
-54,0,0
-55,0,0
-56,0,0
-57,0,0
-58,0,0
-59,0,0
-60,0,0
-61,0,0
-62,0,0
-63,0,0
-64,0,0
-65,0,0
-66,0,0
-67,0,0
-68,0,0
-69,0,0
-70,0,0
-71,0,0
-72,0,0
-73,0,0
46,0,0
45,0,0
44,0,0
43,0,0
42,0,0
41,0,0
40,0,0
39,0,0
38,0.132,2600
37,0.133,2400
36,0,0
35,0,0
34,0,0
33,0,0
32,0.164,4300
31,0.162,3700
30,0.168,1400
29,0,0
28,3.868,300
27,3.799,400
26,3.852,500
25,3.85,500
24,3.758,600
23,3.927,200
22,3.778,600
21,3.646,500
20,3.703,400
19,3.638,500
18,3.683,400
17,3.677,400
16,3.599,600
15,3.61,500
14,3.618,400
13,3.571,500
12,3.579,500
11,3.534,400
10,0,0
9,0,0
8,0,0
7,3.49,500
6,3.543,600
5,3.568,200
4,3.513,500
3,3.547,600
2,3.525,500
0.999998,3.568,600
0,3.531,500
-1,3.496,400
-2,3.563,500
-3,3.551,500
-4,3.584,500
-5,3.597,500
-6,3.573,500
-7,3.574,500
-8,3.571,400
-9,3.64,500
-10,3.592,400
-11,3.607,400
-12,3.666,400
-13,3.671,400
-14,3.704,400
-15,3.729,400
-16,3.751,400
-17,3.796,400
-18,3.874,300
-19,0,0
-20,0,0
-21,0,0
-22,0,0
-23,0,0
-24,0,0
-25,0,0
-26,0,0
-27,0,0
-28,0,0
-29,0,0
-30,0,0
-31,0,0
-32,0,0
-33,0,0
-34,0,0
-35,0,0
-36,0,0
-37,0,0
-38,0,0
-39,0,0
-40,0,0
-41,0,0
-42,0,0
-43,0,0
-44,0,0
-45,0,0
-46,0,0
-47,0,0
-48,0,0
-49,0,0
-50,0,0
-51,0,0
-52,0,0
-53,0,0
-54,0,0
-55,0,0
-56,0,0
-57,0,0
-58,0,0
-59,0,0
-60,0,0
-61,0,0
-62,0,0
-63,0,0
-64,0,0
-65,0,0
-66,0,0
-67,0,0
-68,0,0
-69,0,0
-70,0,0
-71,0,0
-72,0,0
-73,0,0
46,0,0
45,0,0
44,0,0
43,0,0
42,0,0
41,0,0
40,0,0
39,0,0
38,0.131,2500
37,0.132,2400
36,0,0
35,0.142,2000
34,0,0
33,0,0
32,0,0
31,0.161,3700
30,0.167,1900
29,0,0
28,3.858,300
27,3.797,400
26,3.824,500
25,3.853,500
24,3.756,600
23,3.923,200
22,3.807,500
21,3.661,500
20,3.712,400
19,3.625,500
18,3.675,400
17,3.686,400
16,3.608,600
15,3.614,500
14,3.622,400
13,3.568,500
12,3.572,500
11,3.535,400
10,0,0
9,0,0
8,0,0
7,3.491,500
6,3.538,600
5,3.566,200
4,3.537,600
3,3.551,600
2,3.523,500
0.999998,3.538,500
0,3.54,500
-1,3.495,400
-2,3.561,500
-3,3.563,500
-4,3.598,500
-5,3.594,500
-6,3.568,500
-7,3.578,500
-8,3.615,500
-9,3.638,500
-10,3.606,400
-11,3.613,400
-12,3.681,400
-13,3.673,400
-14,3.681,400
-15,3.717,400
-16,3.759,400
-17,3.791,400
-18,3.874,300
-19,0,0
-20,0,0
-21,0,0
-22,0,0
-23,0,0
-24,0,0
-25,0,0
-26,0,0
-27,0,0
-28,0,0
-29,0,0
-30,0,0
-31,0,0
-32,0,0
-33,0,0
-34,0,0
-35,0,0
-36,0,0
-37,0,0
-38,0,0
-39,0,0
-40,0,0
-41,0,0
-42,0,0
-43,0,0
-44,0,0
-45,0,0
-46,0,0
-47,0,0
-48,0,0
-49,0,0
-50,0,0
-51,0,0
-52,0,0
-53,0,0
-54,0,0
-55,0,0
-56,0,0
-57,0,0
-58,0,0
-59,0,0
-60,0,0
-61,0,0
-62,0,0
-63,0,0
-64,0,0
-65,0,0
-66,0,0
-67,0,0
-68,0,0
-69,0,0
-70,0,0
-71,0,0
-72,0,0
-73,0,0
46,0,0
45,0,0
44,0,0
43,0,0
42,0,0
41,0,0
40,0,0
39,0,0
38,0.131,2500
37,0,0
36,0,0
35,0.142,1800
34,0,0
33,0,0
32,0,0
31,0.161,3800
30,0.167,1900
29,0,0
28,3.934,400
27,3.927,400
26,3.823,500
25,3.846,500
24,3.759,600
23,3.84,300
22,3.769,600
21,3.651,500
20,3.712,400
19,3.634,500
18,3.676,400
17,3.676,400
16,3.638,500
15,3.618,500
14,3.617,400
13,3.575,500
12,3.572,500
11,3.532,400
10,0,0
9,0,0
8,0,0
7,3.538,600
6,3.535,600
5,3.566,200
4,3.513,500
3,3.552,600
2,3.521,500
0.999998,3.562,600
0,3.529,500
-1,3.493,400
-2,3.568,500
-3,3.567,500
-4,3.595,500
-5,3.594,500
-6,3.569,500
-7,3.578,500
-8,3.572,400
-9,3.596,400
-10,3.609,400
-11,3.613,400
-12,3.672,400
-13,3.667,400
-14,3.693,400
-15,3.722,400
-16,3.764,400
-17,3.791,400
-18,3.867,300
-19,0,0
-20,0,0
-21,0,0
-22,0,0
-23,0,0
-24,0,0
-25,0,0
-26,0,0
-27,0,0
-28,0,0
-29,0,0
-30,0,0
-31,0,0
-32,0,0
-33,0,0
-34,0,0
-35,0,0
-36,0,0
-37,0,0
-38,0,0
-39,0,0
-40,0,0
-41,0,0
-42,0,0
-43,0,0
-44,0,0
-45,0,0
-46,0,0
-47,0,0
-48,0,0
-49,0,0
-50,0,0
-51,0,0
-52,0,0
-53,0,0
-54,0,0
-55,0,0
-56,0,0
-57,0,0
-58,0,0
-59,0,0
-60,0,0
-61,0,0
-62,0,0
-63,0,0
-64,0,0
-65,0,0
-66,0,0
-67,0,0
-68,0,0
-69,0,0
-70,0,0
-71,0,0
-72,0,0
-73,0,0
46,0,0
45,0,0
44,0,0
43,0,0
42,0,0
41,0,0
40,0,0
39,0.132,2800
38,0.132,2500
37,0,0
36,0.137,2500
35,0.143,1700
34,0,0
33,0,0
32,0.164,4000
31,0.162,3300
30,0,0
29,3.96,400
28,3.858,300
27,3.872,300
26,3.828,500
25,3.844,500
24,3.793,500
23,3.848,300
22,3.771,600
21,3.657,500
20,3.704,400
19,3.633,500
18,3.684,400
17,3.676,400
16,3.638,500
15,3.618,500
14,3.62,400
13,3.577,500
12,3.565,500
11,3.54,400
10,0,0
9,0,0
8,0,0
7,3.535,600
6,3.539,600
5,3.565,200
4,3.509,500
3,3.557,600
2,3.511,500
0.999998,3.534,500
0,3.532,500
-1,3.497,400
-2,3.56,500
-3,3.562,500
-4,3.588,500
-5,3.595,500
-6,3.57,500
-7,3.573,500
-8,3.576,400
-9,3.596,400
-10,3.612,400
-11,3.616,400
-12,3.676,400
-13,3.664,400
-14,3.704,400
-15,3.725,400
-16,3.756,400
-17,3.785,400
-18,3.87,300
-19,0,0
-20,0,0
-21,0,0
-22,0,0
-23,0,0
-24,0,0
-25,0,0
-26,0,0
-27,0,0
-28,0,0
-29,0,0
-30,0,0
-31,0,0
-32,0,0
-33,0,0
-34,0,0
-35,0,0
-36,0,0
-37,0,0
-38,0,0
-39,0,0
-40,0,0
-41,0,0
-42,0,0
-43,0,0
-44,0,0
-45,0,0
-46,0,0
-47,0,0
-48,0,0
-49,0,0
-50,0,0
-51,0,0
-52,0,0
-53,0,0
-54,0,0
-55,0,0
-56,0,0
-57,0,0
-58,0,0
-59,0,0
-60,0,0
-61,0,0
-62,0,0
-63,0,0
-64,0,0
-65,0,0
-66,0,0
-67,0,0
-68,0,0
-69,0,0
-70,0,0
-71,0,0
-72,0,0
-73,0,0
46,0,0
45,0,0
44,0,0
43,0,0
42,0,0
41,0,0
40,0,0
39,0.135,2600
38,0.137,2600
37,0.139,2400
36,0.144,2300
35,0,0
34,0,0
33,0.169,3900
32,0.167,3100
31,0,0
30,0,0
29,3.962,400
28,3.857,300
27,3.928,400
26,3.827,500
25,3.849,500
24,3.756,600
23,3.921,200
22,3.8,500
21,3.654,500
20,3.679,500
19,3.634,500
18,3.679,400
17,3.69,400
16,3.604,600
15,3.623,500
14,3.628,400
13,3.58,500
12,3.535,400
11,3.535,400
10,0,0
9,0,0
8,0,0
7,3.498,500
6,3.535,600
5,3.563,200
4,3.515,500
3,3.56,600
2,3.51,500
0.999998,3.538,500
0,3.529,500
-1,3.503,400
-2,3.562,500
-3,3.566,500
-4,3.589,500
-5,3.593,500
-6,3.572,500
-7,3.582,500
-8,3.58,400
-9,3.649,500
-10,3.602,400
-11,3.615,400
-12,3.682,400
-13,3.671,400
-14,3.684,400
-15,3.719,400
-16,3.766,400
-17,3.792,400
-18,3.867,300
-19,0,0
-20,0,0
-21,0,0
-22,0,0
-23,0,0
-24,0,0
-25,0,0
-26,0,0
-27,0,0
-28,0,0
-29,0,0
-30,0,0
-31,0,0
-32,0,0
-33,0,0
-34,0,0
-35,0,0
-36,0,0
-37,0,0
-38,0,0
-39,0,0
-40,0,0
-41,0,0
-42,0,0
-43,0,0
-44,0,0
-45,0,0
-46,0,0
-47,0,0
-48,0,0
-49,0,0
-50,0,0
-51,0,0
-52,0,0
-53,0,0
-54,0,0
-55,0,0
-56,0,0
-57,0,0
-58,0,0
-59,0,0
-60,0,0
-61,0,0
-62,0,0
-63,0,0
-64,0,0
-65,0,0
-66,0,0
-67,0,0
-68,0,0
-69,0,0
-70,0,0
-71,0,0
-72,0,0
-73,0,0
46,0,0
45,0,0
44,0,0
43,0,0
42,0,0
41,0,0
40,0,0
39,0,0
38,0,0
37,0.174,3400
36,0.176,2800
35,0,0
34,4.156,400
33,4.053,300
32,4.054,300
31,4.056,300
30,3.938,200
29,3.966,400
28,3.862,300
27,3.807,400
26,3.831,500
25,3.852,500
24,3.759,600
23,3.834,300
22,3.785,600
21,3.691,600
20,3.676,500
19,3.68,400
18,3.675,400
17,3.682,400
16,3.639,500
15,3.613,500
14,3.616,400
13,3.578,500
12,3.565,500
11,3.532,400
10,0,0
9,0,0
8,0,0
7,3.5,500
6,3.531,600
5,3.569,200
4,3.513,500
3,3.552,600
2,3.52,500
0.999998,3.54,500
0,3.54,500
-1,3.493,400
-2,3.562,500
-3,3.56,500
-4,3.588,500
-5,3.59,500
-6,3.577,500
-7,3.579,500
-8,3.606,500
-9,3.645,500
-10,3.608,400
-11,3.615,400
-12,3.687,400
-13,3.697,400
-14,3.692,400
-15,3.721,400
-16,3.764,400
-17,3.788,400
-18,3.874,300
-19,0,0
-20,0,0
-21,0,0
-22,0,0
-23,0,0
-24,0,0
-25,0,0
-26,0,0
-27,0,0
-28,0,0
-29,0,0
-30,0,0
-31,0,0
-32,0,0
-33,0,0
-34,0,0
-35,0,0
-36,0,0
-37,0,0
-38,0,0
-39,0,0
-40,0,0
-41,0,0
-42,0,0
-43,0,0
-44,0,0
-45,0,0
-46,0,0
-47,0,0
-48,0,0
-49,0,0
-50,0,0
-51,0,0
-52,0,0
-53,0,0
-54,0,0
-55,0,0
-56,0,0
-57,0,0
-58,0,0
-59,0,0
-60,0,0
-61,0,0
-62,0,0
-63,0,0
-64,0,0
-65,0,0
-66,0,0
-67,0,0
-68,0,0
-69,0,0
-70,0,0
-71,0,0
-72,0,0
-73,0,0
46,0,0
45,0,0
44,0,0
43,0,0
42,0,0
41,0,0
40,0,0
39,0,0
38,0,0
37,0,0
36,0,0
35,4.086,300
34,4.065,300
33,4.069,300
32,4.052,300
31,4.055,300
30,4.028,300
29,3.966,400
28,3.923,400
27,3.847,500
26,3.856,500
25,3.846,500
24,3.745,600
23,3.928,200
22,3.808,500
21,3.672,500
20,3.731,500
19,3.63,500
18,3.673,400
17,3.681,400
16,3.648,500
15,3.602,500
14,3.584,500
13,3.569,500
12,3.529,400
11,3.539,400
10,0,0
9,0,0
8,0,0
7,3.536,600
6,3.526,600
5,3.563,200
4,3.511,500
3,3.545,600
2,3.522,500
0.999998,3.532,500
0,3.542,500
-1,3.513,400
-2,3.554,500
-3,3.564,500
-4,3.572,500
-5,3.594,500
-6,3.588,500
-7,3.597,500
-8,3.57,400
-9,3.629,500
-10,3.705,300
-11,3.624,400
-12,3.686,400
-13,3.752,500
-14,3.701,400
-15,3.721,400
-16,3.788,400
-17,3.771,400
-18,3.909,300
-19,0,0
-20,0,0
-21,0,0
-22,0,0
-23,0,0
-24,0,0
-25,0,0
-26,0,0
-27,0,0
-28,0,0
-29,0,0
-30,0,0
-31,0,0
-32,0,0
-33,0,0
-34,0,0
-35,0,0
-36,0,0
-37,0,0
-38,0,0
-39,0,0
-40,0,0
-41,0,0
-42,0,0
-43,0,0
-44,0,0
-45,0,0
-46,0,0
-47,0,0
-48,0,0
-49,0,0
-50,0,0
-51,0,0
-52,0,0
-53,0,0
-54,0,0
-55,0,0
-56,0,0
-57,0,0
-58,0,0
-59,0,0
-60,0,0
-61,0,0
-62,0,0
-63,0,0
-64,0,0
-65,0,0
-66,0,0
-67,0,0
-68,0,0
-69,0,0
-70,0,0
-71,0,0
-72,0,0
-73,0,0
46,0,0
45,0,0
44,0,0
43,0,0
42,0,0
41,0,0
40,0,0
39,0,0
38,0,0
37,0,0
36,0,0
35,4.07,300
34,4.061,300
33,4.053,300
32,4.057,300
31,4.056,300
30,3.953,200
29,4.023,300
28,3.867,300
27,3.865,500
26,3.841,500
25,3.84,500
24,3.757,600
23,3.922,200
22,3.782,600
21,3.702,600
20,3.708,400
19,3.623,500
18,3.686,400
17,3.679,400
16,3.602,600
15,3.607,500
14,3.616,400
13,3.57,500
12,3.569,500
11,3.535,400
10,0,0
9,0,0
8,0,0
7,3.497,500
6,3.531,600
5,3.568,200
4,3.511,500
3,3.55,600
2,3.528,500
0.999998,3.543,500
0,3.534,500
-1,3.498,400
-2,3.558,500
-3,3.567,500
-4,3.584,500
-5,3.588,500
-6,3.577,500
-7,3.586,500
-8,3.558,400
-9,3.644,500
-10,3.603,400
-11,3.612,400
-12,3.72,500
-13,3.753,500
-14,3.701,400
-15,3.716,400
-16,3.767,400
-17,3.777,400
-18,3.882,300
-19,0,0
-20,0,0
-21,0,0
-22,0,0
-23,0,0
-24,0,0
-25,0,0
-26,0,0
-27,0,0
-28,0,0
-29,0,0
-30,0,0
-31,0,0
-32,0,0
-33,0,0
-34,0,0
-35,0,0
-36,0,0
-37,0,0
-38,0,0
-39,0,0
-40,0,0
-41,0,0
-42,0,0
-43,0,0
-44,0,0
-45,0,0
-46,0,0
-47,0,0
-48,0,0
-49,0,0
-50,0,0
-51,0,0
-52,0,0
-53,0,0
-54,0,0
-55,0,0
-56,0,0
-57,0,0
-58,0,0
-59,0,0
-60,0,0
-61,0,0
-62,0,0
-63,0,0
-64,0,0
-65,0,0
-66,0,0
-67,0,0
-68,0,0
-69,0,0
-70,0,0
-71,0,0
-72,0,0
-73,0,0
46,0,0
45,0,0
44,0,0
43,0,0
42,0,0
41,0,0
40,0,0
39,0,0
38,0,0
37,0,0
36,0,0
35,4.091,300
34,4.061,300
33,4.047,300
32,4.052,300
31,4.051,300
30,4.026,300
29,3.96,400
28,3.862,300
27,3.933,400
26,3.84,500
25,3.84,500
24,3.756,600
23,3.925,200
22,3.772,600
21,3.665,500
20,3.708,400
19,3.637,500
18,3.685,400
17,3.692,400
16,3.605,600
15,3.609,500
14,3.617,400
13,3.577,500
12,3.535,400
11,3.535,400
10,0,0
9,0,0
8,0,0
7,3.493,500
6,3.54,600
5,3.569,200
4,3.515,500
3,3.551,600
2,3.524,500
0.999998,3.567,600
0,3.54,500
-1,3.498,400
-2,3.57,500
-3,3.559,500
-4,3.581,500
-5,3.59,500
-6,3.538,400
-7,3.59,500
-8,3.565,400
-9,3.644,500
-10,3.61,400
-11,3.653,500
-12,3.721,500
-13,3.701,400
-14,3.699,400
