Angle(deg),Range(m),Intensity
-50,0,0
-51,0,0
-52,0,0
-53,0,0
-54,0,0
-55,0,0
-56,0,0
-57,0,0
-58,0,0
-59,0,0
-60,0,0
-61,0,0
-62,0,0
-63,0,0
-64,0,0
-65,0,0
-66,0,0
-67,0,0
-68,0,0
-69,0,0
-70,0,0
-71,0,0
-72,0,0
-73,0,0
46,0,0
45,0,0
44,0,0
43,0,0
42,0,0
41,0,0
40,0,0
39,0,0
38,0,0
37,0,0
36,0,0
35,0,0
34,0,0
33,0,0
32,0,0
31,0,0
30,0,0
29,0,0
28,0,0
27,0,0
26,0,0
25,0,0
24,0,0
23,0,0
22,0,0
21,0,0
20,0,0
19,0,0
18,0,0
17,0,0
16,0,0
15,0,0
14,0,0
13,0,0
12,0,0
11,0,0
10,0,0
9,0,0
8,0,0
7,3.591,300
6,3.538,400
5,3.527,500
4,3.551,400
3,3.537,500
2,3.502,400
0.999998,3.537,500
0,3.508,400
-1,3.522,500
-2,3.539,400
-3,3.529,400
-4,3.566,400
-5,3.595,500
-6,3.541,400
-7,3.553,400
-8,3.574,400
-9,3.597,400
-10,3.61,400
-11,3.623,400
-12,3.678,400
-13,3.744,300
-14,3.762,300
-15,3.788,300
-16,3.832,300
-17,3.854,300
-18,3.87,300
-19,0,0
-20,0,0
-21,0,0
-22,0,0
-23,0,0
-24,0,0
-25,0,0
-26,0,0
-27,0,0
-28,0,0
-29,0,0
-30,0,0
-31,0,0
-32,0,0
-33,0,0
-34,0,0
-35,0,0
-36,0,0
-37,0,0
-38,0,0
-39,0,0
-40,0,0
-41,0,0
-42,0,0
-43,0,0
-44,0,0
-45,0,0
-46,0,0
-47,0,0
-48,0,0
-49,0,0
-50,0,0
-51,0,0
-52,0,0
-53,0,0
-54,0,0
-55,0,0
-56,0,0
-57,0,0
-58,0,0
-59,0,0
-60,0,0
-61,0,0
-62,0,0
-63,0,0
-64,0,0
-65,0,0
-66,0,0
-67,0,0
-68,0,0
-69,0,0
-70,0,0
-71,0,0
-72,0,0
-73,0,0
46,0,0
45,0,0
44,0,0
43,0,0
42,0,0
41,0,0
40,0,0
39,0,0
38,0,0
37,0,0
36,0,0
35,0,0
34,0,0
33,0,0
32,0,0
31,0,0
30,0,0
29,0,0
28,0,0
27,0,0
26,0,0
25,0,0
24,0,0
23,0,0
22,0,0
21,0,0
20,0,0
19,0,0
18,0,0
17,0,0
16,0,0
15,0,0
14,3.57,300
13,3.563,300
12,3.56,300
11,3.587,300
10,0,0
9,0,0
8,0,0
7,3.538,400
6,3.532,400
5,3.53,500
4,3.522,500
3,3.527,500
2,3.539,500
0.999998,3.527,500
0,3.544,500
-1,3.507,400
-2,3.562,500
-3,3.521,400
-4,3.544,400
-5,3.589,500
-6,3.549,400
-7,3.551,400
-8,3.58,400
-9,3.593,400
-10,3.632,400
-11,3.621,400
-12,3.67,400
-13,3.756,300
-14,3.708,400
-15,3.709,400
-16,3.846,300
-17,3.829,300
-18,3.898,300
-19,0,0
-20,0,0
-21,0,0
-22,0,0
-23,0,0
-24,0,0
-25,0,0
-26,0,0
-27,0,0
-28,0,0
-29,0,0
-30,0,0
-31,0,0
-32,0,0
-33,0,0
-34,0,0
-35,0,0
-36,0,0
-37,0,0
-38,0,0
-39,0,0
-40,0,0
-41,0,0
-42,0,0
-43,0,0
-44,0,0
-45,0,0
-46,0,0
-47,0,0
-48,0,0
-49,0,0
-50,0,0
-51,0,0
-52,0,0
-53,0,0
-54,0,0
-55,0,0
-56,0,0
-57,0,0
-58,0,0
-59,0,0
-60,0,0
-61,0,0
-62,0,0
-63,0,0
-64,0,0
-65,0,0
-66,0,0
-67,0,0
-68,0,0
-69,0,0
-70,0,0
-71,0,0
-72,0,0
-73,0,0
46,0,0
45,0,0
44,0,0
43,0,0
42,0,0
41,0,0
40,0,0
39,0,0
38,0,0
37,0,0
36,0,0
35,0,0
34,0,0
33,0,0
32,0,0
31,0,0
30,0,0
29,0,0
28,0,0
27,0,0
26,0,0
25,0.119,3000
24,0.119,3000
23,0.121,3100
22,0.136,3200
21,0,0
20,3.709,400
19,3.69,400
18,3.666,400
17,3.704,200
16,3.613,300
15,3.651,400
14,3.623,400
13,3.613,400
12,3.531,400
11,3.531,400
10,0,0
9,0,0
8,0,0
7,3.545,400
6,3.573,500
5,3.568,200
4,3.51,500
3,3.542,500
2,3.518,500
0.999998,3.536,500
0,3.529,500
-1,3.496,400
-2,3.566,500
-3,3.564,500
-4,3.591,500
-5,3.597,500
-6,3.539,400
-7,3.587,500
-8,3.575,400
-9,3.594,400
-10,3.609,400
-11,3.617,400
-12,3.683,400
-13,3.695,400
-14,3.681,400
-15,3.723,400
-16,3.745,400
-17,3.776,400
-18,3.871,300
-19,0,0
-20,0,0
-21,0,0
-22,0,0
-23,0,0
-24,0,0
-25,0,0
-26,0,0
-27,0,0
-28,0,0
-29,0,0
-30,0,0
-31,0,0
-32,0,0
-33,0,0
-34,0,0
-35,0,0
-36,0,0
-37,0,0
-38,0,0
-39,0,0
-40,0,0
-41,0,0
-42,0,0
-43,0,0
-44,0,0
-45,0,0
-46,0,0
-47,0,0
-48,0,0
-49,0,0
-50,0,0
-51,0,0
-52,0,0
-53,0,0
-54,0,0
-55,0,0
-56,0,0
-57,0,0
-58,0,0
-59,0,0
-60,0,0
-61,0,0
-62,0,0
-63,0,0
-64,0,0
-65,0,0
-66,0,0
-67,0,0
-68,0,0
-69,0,0
-70,0,0
-71,0,0
-72,0,0
-73,0,0
46,0,0
45,0,0
44,0,0
43,0,0
42,0,0
41,0,0
40,0,0
39,0,0
38,0,0
37,0,0
36,0,0
35,0,0
34,0,0
33,0,0
32,0,0
31,0,0
30,0,0
29,0,0
28,0.142,2900
27,0,0
26,3.822,500
25,3.839,500
24,0,0
23,3.834,300
22,3.767,600
21,3.652,500
20,3.708,400
19,3.687,400
18,3.667,400
17,3.698,200
16,3.616,300
15,3.651,400
14,3.627,400
13,3.583,500
12,3.571,500
11,3.532,400
10,0,0
9,0,0
8,0,0
7,3.537,400
6,3.541,600
5,3.565,200
4,3.512,500
3,3.538,500
2,3.505,500
0.999998,3.537,500
0,3.534,500
-1,3.499,400
-2,3.568,500
-3,3.564,500
-4,3.59,500
-5,3.593,500
-6,3.578,500
-7,3.58,500
-8,3.567,400
-9,3.597,400
-10,3.608,400
-11,3.62,400
-12,3.675,400
-13,3.67,400
-14,3.7,400
-15,3.709,400
-16,3.756,400
-17,3.778,400
-18,3.863,300
-19,0,0
-20,0,0
-21,0,0
-22,0,0
-23,0,0
-24,0,0
-25,0,0
-26,0,0
-27,0,0
-28,0,0
-29,0,0
-30,0,0
-31,0,0
-32,0,0
-33,0,0
-34,0,0
-35,0,0
-36,0,0
-37,0,0
-38,0,0
-39,0,0
-40,0,0
-41,0,0
-42,0,0
-43,0,0
-44,0,0
-45,0,0
-46,0,0
-47,0,0
-48,0,0
-49,0,0
-50,0,0
-51,0,0
-52,0,0
-53,0,0
-54,0,0
-55,0,0
-56,0,0
-57,0,0
-58,0,0
-59,0,0
-60,0,0
-61,0,0
-62,0,0
-63,0,0
-64,0,0
-65,0,0
-66,0,0
-67,0,0
-68,0,0
-69,0,0
-70,0,0
-71,0,0
-72,0,0
-73,0,0
46,0,0
45,0,0
44,0,0
43,0,0
42,0,0
41,0,0
40,0,0
39,0,0
38,0,0
37,0,0
36,0,0
35,0.133,3000
34,0.133,2200
33,0,0
32,0,0
31,0,0
30,0,0
29,3.961,400
28,3.855,300
27,3.874,500
26,3.883,600
25,3.843,500
24,0,0
23,0,0
22,3.776,600
21,3.66,500
20,3.711,400
19,3.683,400
18,3.669,400
17,3.704,200
16,3.56,200
15,3.596,300
14,3.622,400
13,3.569,500
12,3.53,400
11,3.535,400
10,0,0
9,0,0
8,0,0
7,3.54,400
6,3.53,600
5,3.565,200
4,3.513,500
3,3.559,600
2,3.531,500
0.999998,3.542,500
0,3.536,500
-1,3.497,400
-2,3.57,500
